time,type
2018/6/6,CANCEL_BID
2018/6/6,BID
2018/6/6,CREATION
2018/6/6,SALE_PRICE_SET
2018/6/6,CREATION
2018/6/6,SALE_PRICE_SET
2018/6/6,CREATION
2018/6/6,CANCEL_BID
2018/6/6,TRANSFER
2018/6/7,SALE_PRICE_SET
2018/6/7,SALE_PRICE_SET
2018/6/7,SALE_PRICE_SET
2018/6/7,BID
2018/6/7,SALE_PRICE_SET
2018/6/7,CREATION
2018/6/7,TRANSFER
2018/6/7,SALE_PRICE_SET
2018/6/8,BID
2018/6/9,CANCEL_BID
2018/6/9,CANCEL_BID
2018/6/9,CREATION
2018/6/10,BID
2018/6/10,SALE_PRICE_SET
2018/6/10,CREATION
2018/6/12,CANCEL_BID
2018/6/12,BID
2018/6/12,CREATION
2018/6/12,CANCEL_BID
2018/6/12,BID
2018/6/12,SALE_PRICE_SET
2018/6/12,ACCEPT_BID
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,CANCEL_BID
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,CREATION
2018/6/13,SALE_PRICE_SET
2018/6/13,CREATION
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/13,SALE_PRICE_SET
2018/6/15,CANCEL_BID
2018/6/16,CREATION
2018/6/16,CREATION
2018/6/16,SALE_PRICE_SET
2018/6/17,BID
2018/6/17,BID
2018/6/17,CREATION
2018/6/17,BID
2018/6/19,SALE_PRICE_SET
2018/6/21,SALE_PRICE_SET
2018/6/22,CREATION
2018/6/23,SALE_PRICE_SET
2018/6/24,BID
2018/6/24,CREATION
2018/6/24,CREATION
2018/6/24,SALE_PRICE_SET
2018/6/24,CREATION
2018/6/24,BID
2018/6/24,CREATION
2018/6/25,ACCEPT_BID
2018/6/25,BID
2018/6/25,SALE_PRICE_SET
2018/6/25,SALE_PRICE_SET
2018/6/25,CREATION
2018/6/25,CREATION
2018/6/25,SALE_PRICE_SET
2018/6/25,CREATION
2018/6/25,CREATION
2018/6/26,SALE_PRICE_SET
2018/6/26,SALE_PRICE_SET
